,landing_page_id,origin,label
150,2,2,1.0
544,137,4,0.0
1631,53,2,0.0
1342,2,2,1.0
1517,21,4,1.0
228,47,2,0.0
1164,21,6,1.0
1491,201,4,0.0
876,21,1,0.0
1251,2,6,1.0
629,12,6,1.0
634,1,1,0.0
808,2,2,1.0
414,2,6,1.0
618,148,4,0.0
1030,19,4,0.0
883,138,2,0.0
840,161,6,0.0
961,29,9,0.0
63,21,4,0.0
1283,117,4,0.0
941,5,4,0.0
1518,203,3,0.0
989,155,3,0.0
318,37,5,1.0
932,21,5,0.0
197,5,5,1.0
869,5,4,1.0
1240,36,3,0.0
394,22,9,1.0
924,26,4,1.0
1437,29,8,0.0
1439,2,2,1.0
283,12,6,1.0
198,21,4,1.0
325,2,4,1.0
501,2,6,0.0
246,30,6,1.0
1427,207,6,0.0
1523,78,8,1.0
1565,165,4,1.0
122,21,5,1.0
682,1,1,1.0
1056,2,5,1.0
1499,214,3,0.0
248,12,6,0.0
670,2,2,1.0
1611,2,2,1.0
27,21,6,0.0
1092,165,4,0.0
1019,2,4,1.0
656,1,1,1.0
328,21,4,1.0
230,1,1,1.0
613,2,2,1.0
410,21,5,1.0
288,21,5,1.0
1199,62,5,0.0
853,16,6,0.0
1182,12,6,0.0
397,112,8,0.0
916,65,6,1.0
1575,220,8,0.0
87,2,2,1.0
233,3,9,0.0
32,2,2,1.0
1264,2,2,1.0
263,18,1,0.0
207,55,6,1.0
441,2,4,1.0
1477,5,4,1.0
645,18,1,0.0
366,107,6,1.0
599,12,1,1.0
593,5,6,0.0
407,1,1,1.0
539,54,2,0.0
413,5,5,1.0
1282,13,6,1.0
170,72,6,1.0
690,18,1,0.0
319,2,2,0.0
1592,147,6,0.0
362,106,6,1.0
798,12,6,0.0
925,21,6,1.0
206,2,2,1.0
194,78,3,1.0
10,8,3,0.0
974,38,6,1.0
812,18,1,1.0
1397,122,1,1.0
842,18,6,0.0
335,21,4,1.0
1263,2,4,1.0
320,21,6,0.0
417,99,4,0.0
1314,50,5,0.0
1212,59,4,1.0
1382,21,4,1.0
877,2,2,1.0
1519,93,6,0.0
1289,21,6,1.0
1625,124,6,0.0
1602,161,4,0.0
1459,12,6,1.0
1509,149,3,0.0
1408,9,6,0.0
393,21,4,1.0
269,93,6,1.0
1112,45,7,0.0
529,1,1,0.0
